_key,followers_count,query_tweet_count,friends_count,statuses_count,listed_count,favourites_count,count_followers_in_query,screen_name,profile_image_url,influential,original
188046229,1746,2,838,1578,73,1624,28,benjbach,http://pbs.twimg.com/profile_images/1103673747549102080/EBjzgFyD_normal.png,true,true
82713840,822,1,175,796,53,105,27,dr_pi,http://pbs.twimg.com/profile_images/716400866/PetraSquare_normal.png,true,true
883747950085656577,996,0,199,113,38,283,27,miriah_meyer,http://pbs.twimg.com/profile_images/925955217463504896/5EgQ9qmw_normal.jpg,true,true
137712607,42884,1,507,33570,2778,431,25,visualisingdata,http://pbs.twimg.com/profile_images/1000851383363493893/fHt8A__Y_normal.jpg,true,true
1873322353,5506,5,278,367,282,809,23,uwdata,http://pbs.twimg.com/profile_images/378800000581527120/e8fd4aa63ea685781e9c2c45aa67c5b3_normal.png,true,true
81658145,1048,17,757,1412,79,678,27,alexander_lex,http://pbs.twimg.com/profile_images/626343671152136192/lJFEe0cX_normal.jpg,true,true
14249829,1820,3,456,9085,126,4756,25,sharoz,http://pbs.twimg.com/profile_images/887469662962765824/gIxL_R-T_normal.jpg,true,true
19299318,610,34,1,3302,47,7,23,jsndyks,http://pbs.twimg.com/profile_images/72469235/buzzWhirl-200_normal.png,true,true
15463062,14672,0,384,595,1097,1486,23,wattenberg,http://pbs.twimg.com/profile_images/574720138064236544/xxuojbcK_normal.jpeg,true,true
1489761876,599,0,524,336,31,474,26,charles_perin,http://pbs.twimg.com/profile_images/672491453004668928/r3WqMr5P_normal.jpg,true,true
201277609,509,8,937,2122,190,409,25,jcrbrts,http://pbs.twimg.com/profile_images/2885276422/ca56c30798e670ed6009ac171e181f15_normal.png,true,true
19920203,15251,0,45,237,918,165,23,viegasf,http://pbs.twimg.com/profile_images/489120158846169088/qSoLATip_normal.jpeg,true,true
2511400400,515,0,112,68,22,1,22,ieeevgtc,http://pbs.twimg.com/profile_images/468872066179936256/tLkCLSK__normal.png,true,true
44195788,2118,1,463,12089,175,3061,23,scheidegger,http://pbs.twimg.com/profile_images/1050853395567788032/LeqsmDVz_normal.jpg,true,true
10471882,1819,0,693,1120,118,2574,24,mattbrehmer,http://pbs.twimg.com/profile_images/903650834986057728/VoCDy8H3_normal.jpg,true,true
34255829,45523,0,3683,88791,3166,2697,26,AlbertoCairo,http://pbs.twimg.com/profile_images/1069593505553633281/hoG3VcMt_normal.jpg,true,true
1366811,16896,0,1399,16386,1266,17330,22,moritz_stefaner,http://pbs.twimg.com/profile_images/482195076794556416/g_AJWbbZ_normal.jpeg,true,true
16553392,1435,0,438,601,88,83,22,hpfister,http://pbs.twimg.com/profile_images/1057638109888892928/iHJzu9c__normal.jpg,true,true
2470709743,515,0,87,61,20,82,24,immersivecola,http://pbs.twimg.com/profile_images/461466646117224448/L9RBHnCl_normal.png,true,true
596332489,374,0,199,1991,78,3337,21,bilalalsallakh,http://pbs.twimg.com/profile_images/1124931364472664064/kgPi8nbs_normal.png,true,true
395853499,554,5,306,350,32,467,23,marc_streit,http://pbs.twimg.com/profile_images/706225986426130433/KC-K_2j0_normal.jpg,true,true
1556132462,2239,2,384,841,92,1713,25,JessicaHullman,http://pbs.twimg.com/profile_images/658438934943281152/FIKbddJf_normal.jpg,true,true
885107802,702,0,83,197,18,301,23,johntstasko,http://pbs.twimg.com/profile_images/794019068080783363/zzVa1Es4_normal.jpg,true,true
9527212,3238,1,1129,4812,142,21671,20,arvindsatya1,http://pbs.twimg.com/profile_images/1021652182104342528/jUFdnp2a_normal.jpg,true,true
10414152,1519,2,763,4338,100,5089,22,laneharrison,http://pbs.twimg.com/profile_images/932285276520701954/sQXVag20_normal.jpg,true,true
1387915232,15998,0,662,10214,760,9777,22,Elijah_Meeks,http://pbs.twimg.com/profile_images/848383170579791874/hmn5wZPh_normal.jpg,true,true
18704160,974,2,189,9038,117,7868,21,dr_tj,http://pbs.twimg.com/profile_images/599754281135243264/aUcp2pfA_normal.jpg,true,true
52341962,3190,0,517,4290,260,5943,22,nrchtct,http://pbs.twimg.com/profile_images/1137752766/in_NYC_square_200_normal.png,true,true
17519986,1160,0,326,1648,98,254,21,ChrisNF,http://pbs.twimg.com/profile_images/800328599165353984/ZhogR2LS_normal.jpg,true,true
16557883,2630,4,822,3835,120,3200,20,ngehlenborg,http://pbs.twimg.com/profile_images/1080154959176450050/0-eRx6J5_normal.jpg,true,true
4597853354,11222,0,1,134,314,37,20,d3js_org,http://pbs.twimg.com/profile_images/875787068621832193/HgKolWB5_normal.jpg,true,true
14109167,77827,0,264,10307,5340,1530,19,flowingdata,http://pbs.twimg.com/profile_images/1103367947009982464/mzPludXL_normal.png,true,true
208579168,910,0,143,413,20,894,21,hen_str,http://pbs.twimg.com/profile_images/885611190126292992/LF4CTcu__normal.jpg,true,true
214764129,740,0,157,624,29,434,19,bongshin,http://pbs.twimg.com/profile_images/1030631157707075584/rs17-1BO_normal.jpg,true,true
40219508,552,14,539,1322,18,1405,20,_Noeska_,http://pbs.twimg.com/profile_images/1112783180891897856/SPZL_ZIN_normal.jpg,true,true
43953969,1028,1,366,1085,39,362,22,jwoLondon,http://pbs.twimg.com/profile_images/925496113792241665/xgl2rqx0_normal.jpg,true,true
465929514,14578,0,103,1280,840,1861,21,datastories,http://pbs.twimg.com/profile_images/670250175047344128/5VCUDRg3_normal.png,true,true
1004751018528141313,579,1,146,38,21,10,17,visdesignlab,http://pbs.twimg.com/profile_images/1004751300557324289/wtF_eIRj_normal.jpg,true,true
1684160599,369,0,80,22,14,20,20,vizstudylady,http://pbs.twimg.com/profile_images/788874183996416000/nDng3unZ_normal.jpg,true,true
96831443,387,0,134,350,22,469,19,nathriche,http://pbs.twimg.com/profile_images/739745177913397248/y7ZtSCu1_normal.jpg,true,true
14898705,1335,0,761,3318,154,1207,17,romsson,http://pbs.twimg.com/profile_images/378800000452666421/fbc67489f8499630d803c6630d3bd3e3_normal.png,true,true
1086037534176473088,9156,0,223,437,156,1298,19,DataVizSociety,http://pbs.twimg.com/profile_images/1103378992508227585/5RLuDY0S_normal.png,true,true
209155608,1108,0,1049,806,59,1502,20,dalbersszafir,http://pbs.twimg.com/profile_images/926503611210768385/e5pk3ZXQ_normal.jpg,true,true
17242884,12413,0,1495,21471,774,11494,20,maartenzam,http://pbs.twimg.com/profile_images/1070248468344696833/79o98tIJ_normal.jpg,true,true
945943164,8236,0,82,2182,483,1479,19,OpenVisConf,http://pbs.twimg.com/profile_images/943531847606083584/WFJsMmZq_normal.jpg,true,true
14113734,1269,0,216,2751,130,3223,20,alark,http://pbs.twimg.com/profile_images/522650907633135616/NjFuJqN9_normal.png,true,true
359650922,1460,1,661,1839,108,6418,19,FisherDanyel,http://pbs.twimg.com/profile_images/952333033352212480/NVvvA98P_normal.jpg,true,true
268350241,662,0,94,392,43,278,16,biovis_net,http://pbs.twimg.com/profile_images/695019889996595200/zXkK7o3W_normal.png,true,true
981786802666328064,279,0,168,62,10,5,15,ieee_tvcg,http://pbs.twimg.com/profile_images/982127692991483909/C4ES--e6_normal.jpg,true,true
620010629,353,0,144,1080,61,469,17,wolfgangaigner,http://pbs.twimg.com/profile_images/621783556059209729/ILCFBW-f_normal.jpg,true,true
82890309,1396,1,525,3699,67,4478,21,domoritz,http://pbs.twimg.com/profile_images/562171235300155392/e7DV36Iv_normal.jpeg,true,true
36853217,3439,1,1054,3133,258,7276,19,tillnm,http://pbs.twimg.com/profile_images/713294639508414464/nRQbmrO6_normal.jpg,true,true
14148549,757,1,658,1610,64,486,16,magneticnorth,http://pbs.twimg.com/profile_images/1034779180204941312/vQ6TWrnW_normal.jpg,true,true
18325271,534,0,454,3118,30,2498,18,yelperalp,http://pbs.twimg.com/profile_images/2589949698/m0id1s4e7w0iyc4iasux_normal.jpeg,true,true
17406425,2685,0,331,3763,242,2561,19,dominikus,http://pbs.twimg.com/profile_images/458870192588587008/1yMckfkS_normal.png,true,true
242904917,703,0,1272,732,50,3229,19,sgeoviz,http://pbs.twimg.com/profile_images/1274678934/IMG_9943_2_normal.jpg,true,true
86640232,145996,0,71,5522,4767,73,17,nytgraphics,http://pbs.twimg.com/profile_images/964525048353775616/InmWAWbL_normal.jpg,true,true
